Cat Island (South), Cat Island, Bahamas:21.988779602668703
Smithville, TN, USA:19.246863821379907
Skymont Scout Reservation, TN, USA:21.357316465109257
Pleasant View (Cheatham), TN, USA:19.643187570098906
Pigeon Forge Area, TN, USA:18.716156286966335
Pickett CCC Memorial State Park, TN, USA:21.680452401824624
Orion Acres, TN, USA:20.04376087760168
Oneida, TN, USA:19.562126656090378
Norris Lake, TN, USA:20.968095448409407
Newfound Gap, TN, USA:21.37802448597327
Murfreesboro, TN, USA:17.805843788972922
Mountain City, TN, USA:20.42546035409174
Memphis, TN, USA:16.949035630879845
Maryville, TN, USA:17.998833881990787
Lilly Bluff Overlook, TN, USA:21.334258272001126
La Vergne, TN, USA:18.193612704361946
Knoxville, TN, USA:17.49913246261593
Kentucky Cutoff Overlook, TN, USA:20.379414506455323
Johnson City, TX, USA:18.331059942599232
Great Smokey Mountains National Park, TN, USA:21.264469030620486
Fall Creek Falls State Park, TN, USA:21.454896489171205
ETSU Observatory, TN, USA:18.586897078744464
Dyersburg, TN, USA:18.25728440315754
Discovery Park of America, TN, USA:19.218288395351955
Cumberland Plateau Observatory, TN, USA:21.535522461654644
Cumberland Mountain State Park, TN, USA:20.510283417578894
Cordell-Lorenz Observatory, TN, USA:20.477122210172823
Collierville, TN, USA:18.129967531811815
Chattanooga, TN, USA:17.53258952635741
Center Hill Lake, TN, USA:20.992196808877868
Cades Cove, TN, USA:21.201251005138964
Bryan College, TN, USA:19.608151268172364
Bays Mountain Park, TN, USA:19.682169619379863
Baird Municipal Park, TN, USA:18.308995112185734
Wally's Corner, SD, USA:21.626521851041876
Utica, SD, USA:18.233848097836894
Union Grove State Park, SD, USA:21.215430945781407
Sioux Falls, SD, USA:17.312262531768084
Pierre, SD, USA:18.60433111045375
Pickerel Lake, SD, USA:17.68491896823222
Oglala Lakota College - Piya Wiconi, SD, USA:21.664567569167517
Hot Springs, SD, USA:18.262183831771136
Good Earth State Park, SD, USA:19.886140351044126
Colton, SD, USA:17.519035781568384
Caputa, SD, USA:21.173063334093982
Bremmon Road, SD, USA:21.88532315864578
Black Hills State University, SD, USA:19.693612051133325
Belvidere East KOA, SD, USA:21.960538195985862
Badlands National Park, SD, USA:21.94075156931849
Aberdeen Regional Airport, SD, USA:19.493429456769753
Worth Mountain WMA, SC, USA:20.889864270642175
Woods Bay State Park, SC, USA:20.878821098624485
West Columbia, SC, USA:17.728407184297847
Ware Shoals Park, SC, USA:20.35025195693774
Taxahaw, SC, USA:20.817476093375795
Table Rock State Park, SC, USA:20.101240956012017
Sun City Carolina Lakes, SC, USA:19.298242643601345
Sumter, SC, USA:18.57058281197314
Spartanburg, SC, USA:17.940394413812527
Sesquicentennial State Park, SC, USA:18.735352462750726
Santee State Park, SC, USA:20.542939507654943
Santee, SC, USA:18.235507704183718
Sadlers Creek State Park, SC, USA:20.647314745968295
Rose Hill Plantation State Historic Site, SC, USA:21.179116711809986
Rock Hill, SC, USA:18.142329093645845
Rivers Bridge State Historic Site, SC, USA:21.478536896065734
Redcliffe Plantation State Historic Site, SC, USA:19.395795954840928
Poinsett State Park, SC, USA:20.910259297141636
Paris Mountain State Park, SC, USA:19.134299145002203
Oconee Station State Historic Site, SC, USA:21.051134096706456
Oconee State Park, SC, USA:21.226144734615435
Myrtle Beach State Park, SC, USA:18.737779519753563
Myrtle Beach, SC, USA:17.859612658927777
Muskgrove Mill State Historic Site, SC, USA:20.88554811786591
Maxwell Point, SC, USA:21.55037941417423
MAC-Johnson Site, SC, USA:20.949272554321716
Little River, SC, USA:18.981791433050756
Little Pee Dee State Park, SC, USA:20.780712441872343
Lexington(SC), SC, USA:18.417560380084037
Lee State Park, SC, USA:20.56472427431864
Lake Wateree State Park, SC, USA:20.932003748758813
Lake Warren State Park, SC, USA:21.039582681533922
Lake Shores, SC, USA:17.94061277420169
Lake Hartwell State Park, SC, USA:20.463052813768048
Lake Greenwood State Park, SC, USA:20.82883121995005
Kings Mountain State Park, SC, USA:20.193891024243957
Kiawah Island Observatory, SC, USA:20.90569979463342
Keowee-Toxaway State Park, SC, USA:21.08949453807393
Jones Gap State Park, SC, USA:21.084635791438206
Huntington Beach State Park, SC, USA:20.166533166056855
Hunting Island State Park, SC, USA:21.50666278676951
Hickory Knob State Park, SC, USA:21.04354314921331
Hampton Plantation State Historic Site, SC, USA:21.54811473650989
Hamilton Branch State Park, SC, USA:20.90279380502552
Greeleyville, SC, USA:20.398685164050747
Goodale State Park, SC, USA:20.472408822649978
Givhans Ferry State Park, SC, USA:20.627312056686765
Georgetown, TX, USA:16.512711977228065
Gayle H. Riggsbee Observatory, SC, USA:20.826853229827286
Edisto Beach State Park, SC, USA:21.134125052189287
Ebenezer Rd, SC, USA:18.250584315779808
Easley, Liberty, Pickens Area, SC, USA:18.881850518969074
Dreher Island State Park, SC, USA:20.392435702045248
Denmark, SC, USA:21.20988094577648
Croft State Park, SC, USA:20.178896905954076
Congaree National Park, SC, USA:20.794353481268644
Colonial Dorchester State Historic Site, SC, USA:18.84897922755848
Colleton State Park, SC, USA:20.765062483181406
Chester State Park, SC, USA:20.471464118323247
Cheraw State Park, SC, USA:20.600618842815564
Charles Towne Landing State Historic Site, SC, USA:18.397935670231014
Central-Clemson, SC, USA:18.55838883555276
Calhoun Falls State Park, SC, USA:21.040393827118802
Caesars Head State Park, SC, USA:21.132443771034676
Buck Hall Recreation Centre, SC, USA:21.18873748453194
Boeing Observatory, SC, USA:17.246562823635013
Blythewood, SC, USA:19.31258507755493
Berkeley High School, SC, USA:17.884075095845027
Beaufort, SC, USA:19.27440854794873
Batesburg-Leesville High School, SC, USA:19.215956817702526
Barnwell State Park, SC, USA:20.53995407936318
Baker Creek State Park, SC, USA:20.943063629830196
Andrew Jackson State Park, SC, USA:20.0962875221199
Aiken State Park, SC, USA:20.87023963275615
Aiken, SC, USA:18.542584064495156
Woonsocket, RI, USA:18.59022174385958
Seagrave Memorial Observatory, RI, USA:19.47454840310932
Providence, RI, USA:17.14972438453307
Pawcatuck River Observatory, RI, USA:19.253746197582142
Ladd Observatory, RI, USA:17.646403246952723
Jerimoth Hill, RI, USA:20.496111350422417
Hopkinton City, RI, USA:19.409087909500336
Frosty Drew Observatory, RI, USA:20.968316459893373
Block Island, RI, USA:21.593818397491347
Willow Grove Area, PA, USA:17.995373500816182
Williamsport, PA, USA:18.499892501250642
Widener University, PA, USA:17.572959212033783
Whispering Pines Camping Estates, PA, USA:21.14695798286623
Weiser State Forest, PA, USA:20.529086313793677
Waynesburg University, PA, USA:19.41851561185507
Warren, PA, USA:17.533442662831163
Uniontown, PA, USA:19.007551612038093
Twin Lakes Preserve Observatory, PA, USA:17.58657492405276
Tom's Yard, PA, USA:20.984138486452462
The Kiski School Astronomy Club, PA, USA:20.23808007126628
Tamiment, PA, USA:20.82636845012517
Susquehannock State Park, PA, USA:20.36616656945519
Susquehanna University, PA, USA:19.661068288899024
Stroudsburg, PA, USA:19.23761055229951
Strawbridge Observatory, PA, USA:17.932310677036558
State College, PA, USA:18.72085411499273
Solebury Mountain Observatory, PA, USA:19.794043596740966
Sinnemahoning State Park, PA, USA:21.881847412302584
Scranton, PA, USA:18.08437113710171
Sayre, PA, USA:19.8366034931926
Rickett's Glen State Park, PA, USA:21.4400601650531
Raccoon Creek State Park, PA, USA:20.286141139462462
Punxsutawney, PA, USA:20.062692208796047
Pulpit Rock Astronomical Park, PA, USA:20.49503698896853
Prompton State Park, PA, USA:21.02390210279467
Prince Gallitzin State Park, PA, USA:21.26971574337494
Port Allegany, PA, USA:21.059820503380422
Pittsburgh Space Weather Observation Area, PA, USA:17.199201054178538
Pittsburgh, PA, USA:17.199201054178538
Pioneer Park Campground, PA, USA:21.29176068837853
Piney Mountain, PA, USA:20.122794450292773
Philadelphia, PA, USA:16.606620483577938
Oakmont Country Club, PA, USA:18.75566950723834
Mt. Pisgah State Park, PA, USA:21.426656885557275
Mingo Creek Park Observatory, PA, USA:19.726094644476998
Middle Creek Wildlife Management Area, PA, USA:20.12451367682486
Merion Golf Club, PA, USA:17.943393009160992
Meadville, PA, USA:18.99304717881153
Mansfield, PA, USA:18.2417557706698
Manheim Township Planetarium, PA, USA:18.641390162832298
Little Buffalo State Park, PA, USA:20.900244882742033
Lititz, PA, USA:18.84997662057911
Lewistown, PA, USA:20.22840921952324
Levittown, PA, USA:17.51926597288777
Lake Wallenpaupack, PA, USA:21.031889725874187
Lake Ariel, PA, USA:20.79716889118649
LVAAS South Mountain Campus, PA, USA:17.69088763938994
Kunkle Park, PA, USA:19.959963678985005
Kittanning, PA, USA:19.65470674939044
Kinzua Bridge State Park Visitor's Center, PA, USA:21.61063169326193
Wind River Special Observatory, WY, USA:21.953810267289466
Wilson, WY, USA:21.622719623525256
White Mountain, WY, USA:20.633135082411716
Shooting Star Observatory, WY, USA:21.953810267289466
My-Spot West Observatory, WY, USA:21.953810267289466
Lyman, WY, USA:21.417103066053826
Lander, WY, USA:20.682387868597896
Green River Observatory, WY, USA:20.376954745751647
Grand Cosmic Observatory, WY, USA:21.953810267289466
Goodwin Mountain Observatory, WY, USA:21.953810267289466
Gillette, WY, USA:18.93089092429739
Dry Sandy Crossing, WY, USA:21.953810267289466
Casper, WY, USA:19.150221189829136
CBBHO, WY, USA:21.953810267289466
Bobcat Trail Observatory, WY, USA:21.953810267289466
Bench Observatory, WY, USA:21.953810267289466
Alcova, WY, USA:21.88816503584204
Wild Apple Observatory, WI, USA:20.800512419996764
Whatt Observatory, WI, USA:20.800512419996764
Tomahawk, WI, USA:19.771923982179985
The Meadow, WI, USA:20.800512419996764
TWASC Eggshatch Observatorium, WI, USA:20.800512419996764
Sunny Brook observatory, WI, USA:20.800512419996764
Suburban Lights Observatory, WI, USA:20.800512419996764
Spider Lake, WI, USA:21.900938973991394
Salewsky Observatory, WI, USA:20.800512419996764
SOLO Observatory, WI, USA:20.800512419996764
Richfield Observatory, WI, USA:19.430753006649184
RJM Observatory, WI, USA:20.800512419996764
Powerhouse Observatory, WI, USA:20.800512419996764
Pebble Hill Observatory, WI, USA:20.800512419996764
Oxbow Trail Observatory, WI, USA:20.800512419996764
Outback Observatory, WI, USA:20.800512419996764
Otterholt, WI, USA:20.800512419996764
Oshkosh, WI, USA:18.362027493390638
NPMAS Parmentier Observatory, WI, USA:20.800512419996764
Modine Benstead Observatory, WI, USA:20.800512419996764
Mitten Lake Observatory, WI, USA:21.69837874697853
Michowka Observatory, WI, USA:20.800512419996764
Meadowlark Ridge Observatory, WI, USA:20.800512419996764
Luckydog Observatory, WI, USA:20.800512419996764
Land-o-Clouds Observatory, WI, USA:20.800512419996764
Kettle Moraine North, WI, USA:19.439119230699163
Jorgenson Obs Site, WI, USA:20.800512419996764
Inukshuk Observatory, WI, USA:20.800512419996764
HighBridge Hills Northern Lights Educational Center, WI, USA:20.800512419996764
Harken Observatory, WI, USA:20.800512419996764
HG Observatory, WI, USA:20.800512419996764
Gronlund Observing Site, WI, USA:20.800512419996764
Furtman Farm Observatory, WI, USA:20.800512419996764
Dryden Observatory, WI, USA:20.800512419996764
Dievseta, WI, USA:20.800512419996764
Deep Woods Observatory, WI, USA:20.800512419996764
De Forest, WI, USA:19.098379754906333
Cushing Observatory, WI, USA:21.21480205815723
Coleman, WI, USA:20.120025030219367
Casey Observatory, WI, USA:21.56700308003013
Big M Observatory, WI, USA:20.800512419996764
Benson Lake Observatory, WI, USA:21.678469207140367
90W 45N Park, WI, USA:20.800512419996764
Wilderness Skies Observatory, WV, USA:21.845618733089303
Spencer, WV, USA:20.143544816818903
Possum Poop Hollow Observatory, WV, USA:21.845618733089303
Moonridge Observatory, WV, USA:21.845618733089303
Leon Observing Site, WV, USA:21.210743315521178
Leaking Light Observatory, WV, USA:21.845618733089303
Kile Knob Observatory, WV, USA:21.876968670451017
KK's Hill, WV, USA:21.845618733089303
Joseph Dale Perry Memorial Observatory, WV, USA:21.845618733089303
Horizon Planetary Observatory, WV, USA:21.845618733089303
Hidden Bend Observatory, WV, USA:21.845618733089303
Greenbrier Observatory, WV, USA:21.845618733089303
Good Hope Observatory, WV, USA:20.769591080138408
Falling Waters, WV, USA:19.882839081615916
Donald C. Martin Observatory, WV, USA:21.845618733089303
Chanticlear Observatory, WV, USA:21.845618733089303
Breezy Point Observatory, WV, USA:21.845618733089303
Woodland, WA, USA:19.37545916313526
Wild Rose Ridge Observatory, WA, USA:21.998911564564054
Voice Observing Site, WA, USA:21.690534132647063
Ursae Majoris Observatory, WA, USA:21.998911564564054
UI Observatory, WA, USA:21.998911564564054
Thorn Garden Observatory, WA, USA:21.998911564564054
The W.M. Keck Observatory at Pacific Lutheran University, WA, USA:18.237892059859185
The University of Puget Sound Observatory, WA, USA:21.998911564564054
The Naked Astronomer Observatory, WA, USA:21.998911564564054
Table Mountain Star Party at Eden Valley, WA, USA:21.690534132647063
Sunrise Point, WA, USA:20.792622706552823
Suiattle Valley, WA, USA:21.404350838081005
Stevenson, WA, USA:20.594820263129815
Stage Line Ranch, WA, USA:21.690534132647063
Spring Ridge Observatory, WA, USA:21.998911564564054
Southwest Corner Mountain, WA, USA:21.690534132647063
Shangri-La Observatory, WA, USA:21.998911564564054
Sagebrush Skies Observatory, WA, USA:21.998911564564054
Ritchie Observatory, WA, USA:21.998911564564054
Rawson Quarry, WA, USA:21.690534132647063
PNRO, WA, USA:21.690534132647063
Observatory Point, WA, USA:21.690534132647063
New Astronomy Observatory, WA, USA:21.998911564564054
Merk Observatory, WA, USA:21.998911564564054
McMurtrey Site, WA, USA:21.690534132647063
Marysville Observatory, WA, USA:18.696666062331854
Maple Valley Observatory, WA, USA:19.021159619050472
Loowit Imaging Observatory, WA, USA:21.998911564564054
Littlebear Observatory, WA, USA:21.998911564564054
Kelsar Observatory, WA, USA:21.998911564564054
Indian Prairie Observatory, WA, USA:21.690534132647063
Hilltop Observatory, WA, USA:21.690534132647063
Graham, WA, USA:19.36092912497437
Gold Mountain Observing Center, WA, USA:21.690534132647063
Evans Above Observatory, WA, USA:21.690534132647063
Eatonville Observatory, WA, USA:20.100591334937235
Clearview Observatory, WA, USA:19.045809242914096
Chechaquo Ranch, WA, USA:21.971612493401274
Central Washington University Observatory, WA, USA:21.998911564564054
Casa Becca del Norte Observatory, WA, USA:21.998911564564054
Carnation, WA, USA:19.881793764263644
Broch nam Broc Observatory, WA, USA:21.998911564564054
Blue Mountain, WA, USA:21.59027719891099
Blazing Star Observatory, WA, USA:21.998911564564054
Beggars Canyon, WA, USA:21.690534132647063
Bear Creek Observatory, WA, USA:21.998911564564054
Artist Point, WA, USA:21.746749450866247
Ariel, WA, USA:20.897225887613477
Aladdin Valley, WA, USA:21.404350838081005
Yonderplace Observatory, VA, USA:21.648174640504035
Twin Peeks Observatory, VA, USA:21.648174640504035
Turtle Rock Observatory, VA, USA:21.648174640504035
Tidewater Area, VA, USA:21.648174640504035
Thomas Harriot Observatory, VA, USA:21.648174640504035
The Saddle, VA, USA:21.648174640504035
Sunset Field, VA, USA:21.489460771587023
Summit Crossing Observatory, VA, USA:21.648174640504035
Stargazer's Field Observatory, VA, USA:21.648174640504035
Somerton Creek, VA, USA:20.899860984022727
Shiloh School Observatory, VA, USA:21.648174640504035
Schumann Observatory, VA, USA:21.648174640504035
Sandy Point Observatory, VA, USA:21.27260138186985
Robert's Hill, VA, USA:21.648174640504035
River House Observatory, VA, USA:21.648174640504035
Ridgeway, VA, USA:20.265152790686837
Renaissance Academy, VA, USA:21.648174640504035
Ragland Observatory, VA, USA:21.648174640504035
Quiet Skies Observatory, VA, USA:21.648174640504035
Primland Observatory, VA, USA:21.439025564617616
PostOak, VA, USA:20.56435983442597
Pinetop Observatory, VA, USA:20.946398582943804
Ophelia Observatory, VA, USA:21.40043471829796
Old Town Observatory, VA, USA:17.22938309492629
Ocean View Sky Shed, VA, USA:17.961826832078973
New Moon Telescopes Observatory, VA, USA:21.648174640504035
NOVAC Turner Mountain, VA, USA:21.648174640504035
Murphicus Observatory, VA, USA:21.648174640504035
Mountain View Observatory, VA, USA:21.648174640504035
Morning Calm Observatory, VA, USA:21.648174640504035
Millers Tavern, VA, USA:21.118299766602686
Martin Observatory, VA, USA:21.648174640504035
Mark Slade Remote Observatory, VA, USA:21.648174640504035
Laurel Bank, VA, USA:21.648174640504035
Land's End, VA, USA:20.59240565079833
Lake of the Woods Observatory, VA, USA:20.4863551363563
Lake Holiday Observatory, VA, USA:21.017702665582075
King George Observatory, VA, USA:21.648174640504035
Katherine Hill Observatory, VA, USA:21.648174640504035
Hidden Waters Observatory, VA, USA:21.648174640504035
Hidden Creek Observatory, VA, USA:21.648174640504035
Hay House Farm Observatory, VA, USA:21.648174640504035
Grundland Astronomy Park, VA, USA:21.648174640504035
Grenville Base Observatory, VA, USA:20.90954455556135
Grayson Highlands, VA, USA:21.641582916200868
George Washington National Forest Helicopter Landing Site, VA, USA:21.648174640504035
